0;1;2;3;4
Bacillaceae;1;1;2;2
Brucellaceae;1;3;3;3
Burkholderiaceae;1;1;1;1
Campylobacteraceae;1;1;1;1
Candidatus Puniceispirillum - SAR116 cluster;1;1;1;1
Caulobacteraceae;1;1;1;1
Clostridiaceae;1;1;4;8
Comamonadaceae;1;1;1;1
Enterobacteriaceae;6;6;18;28
Enterococcaceae;1;1;1;1
Flavobacteriaceae;3;3;6;17
Gordoniaceae;1;1;2;260
Lactobacillaceae;1;3;3;4
Leuconostocaceae;1;2;4;9
Micrococcaceae;1;1;1;166
Moraxellaceae;1;1;3;3
Mycobacteriaceae;1;3;3;1633
Paenibacillaceae;1;1;1;1
Pasteurellaceae;1;1;1;1
Pectobacteriaceae;1;1;1;1
Pelagibacteraceae;1;1;1;4
Prochloraceae;1;1;3;5
Propionibacteriaceae;1;1;1;52
Pseudoalteromonadaceae;1;2;2;2
Pseudomonadaceae;1;2;9;33
Rhizobiaceae;1;1;1;1
Rhodobacteraceae;4;4;4;7
Staphylococcaceae;1;1;2;2
Streptococcaceae;2;4;7;7
Streptomycetaceae;1;6;7;36
Synechococcaceae;1;1;1;4
Thermaceae;1;1;1;1
Vibrionaceae;1;1;1;1
